"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","direction"
"HECTD1",6.11810308495912e-06,-0.507268972920951,0.316,0.428,0.142619101013482,"HECTD1","Up in Healthy"
"TFDP2",6.15413940683499e-06,-1.10554054981525,0.135,0.257,0.14345914371273,"TFDP2","Up in Healthy"
"TRAC",6.16679593204181e-06,-0.65080528247515,0.178,0.306,0.143754179971827,"TRAC","Up in Healthy"
"ILK",6.72811250441939e-06,2.20678096497126,0.306,0.247,0.15683903059052,"ILK","Up in Severe"
"TAGLN2",6.84362505792728e-06,1.09807325048503,0.813,0.807,0.159531743725343,"TAGLN2","Up in Severe"
"TCOF1",6.87007842145708e-06,-0.549034328134298,0.197,0.3,0.160148398082586,"TCOF1","Up in Healthy"
"NLRP1",7.27718706278709e-06,-0.58402337923403,0.222,0.321,0.16963850762063,"NLRP1","Up in Healthy"
"TAF15",7.73332275007646e-06,-0.574399063776165,0.232,0.324,0.180271486627032,"TAF15","Up in Healthy"
"APBB1IP",7.7737437279156e-06,-0.519514947016383,0.351,0.46,0.181213740041441,"APBB1IP","Up in Healthy"
"CHST12",7.90324342043971e-06,-0.765727865378074,0.172,0.311,0.18423250737387,"CHST12","Up in Healthy"
"NFKBIA",8.24793362292459e-06,1.34019657668227,0.747,0.776,0.192267580683995,"NFKBIA","Up in Severe"
"ODF2L",9.37523565397773e-06,-0.639021182251311,0.175,0.266,0.218546118329875,"ODF2L","Up in Healthy"
"LAMTOR1",9.50126231873832e-06,1.07643993378548,0.665,0.615,0.221483925912109,"LAMTOR1","Up in Severe"
"GCA",9.7396588000894e-06,1.58986365900213,0.346,0.221,0.227041186288884,"GCA","Up in Severe"
"TENT5A",9.94338576392318e-06,-0.753959736246729,0.166,0.253,0.231790265542813,"TENT5A","Up in Healthy"
"TMC8",1.02878386082706e-05,-0.562845198419025,0.226,0.332,0.239819805797395,"TMC8","Up in Healthy"
"CREG1",1.03999447062114e-05,1.53916096527055,0.299,0.19,0.242433111046493,"CREG1","Up in Severe"
"MFSD1",1.09980515003808e-05,1.25535156731481,0.288,0.219,0.256375578525376,"MFSD1","Up in Severe"
"CD68",1.15058280973842e-05,0.861257725882027,0.442,0.317,0.268212358778123,"CD68","Up in Severe"
"PLBD1",1.18786286061565e-05,1.9844818559782,0.341,0.22,0.276902711438115,"PLBD1","Up in Severe"
"BLVRB",1.29998196007346e-05,1.01515962697922,0.373,0.289,0.303038794712724,"BLVRB","Up in Severe"
