"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.9656779349734e-33,4.76978883691119,0.607,0.033,9.24439183421649e-29,"5","KLRC2"
3.10251915783798e-56,3.69616613483355,0.886,0.101,7.23228240883612e-52,"5","TRDC"
2.43261078565832e-13,3.18259582020441,0.315,0.034,5.67065900244812e-09,"5","KIR3DL2"
1.28732056932593e-31,3.12735298792531,0.785,0.115,3.00087297915568e-27,"5","KLRF1"
1.06338235494911e-14,3.01445877760438,0.376,0.07,2.47885060762187e-10,"5","TIGIT"
4.85458352616031e-27,4.51320692332474,0.523,0.03,1.13165196578323e-22,"6","CXCL2"
6.34017913809837e-15,4.49987044204422,0.302,0.014,1.47795915888211e-10,"6","CXCL3"
1.94103681655181e-13,4.21494898082067,0.3,0.019,4.52475092306394e-09,"6","ANKRD22"
5.39878869359975e-46,3.78244978082751,0.818,0.106,1.25851163236504e-41,"6","FOLR3"
2.44259374197351e-26,3.62194341061829,0.602,0.063,5.69393027191445e-22,"6","EREG"
4.00969488441598e-25,4.0053649525876,0.56,0.036,9.3469997450621e-21,"7","SIGLEC1"
1.94017111289094e-48,3.70276480443178,0.875,0.106,4.52273288126008e-44,"7","FOLR3"
1.43516504093905e-41,3.11544309974415,0.861,0.157,3.34551322693302e-37,"7","IFI44L"
5.39471910437194e-08,2.63380260460619,0.305,0.05,0.00125756297042014,"7","JUP"
1.43812717774112e-24,2.56999553211714,0.679,0.139,3.35241826403232e-20,"7","SHTN1"
9.70223070727684e-61,6.35015432942639,0.83,0.035,2.2616870001733e-56,"8","CDKN1C"
4.01743466238321e-12,5.53131409791426,0.265,0.004,9.36504194148151e-08,"8","KNDC1"
1.10336552053368e-19,4.94507124458515,0.355,0.011,2.57205536491607e-15,"8","C1QA"
2.08175418824688e-21,4.90670405167625,0.42,0.013,4.8527771882223e-17,"8","NEURL1"
1.98810907433331e-20,4.50706208027955,0.45,0.016,4.63448106317837e-16,"8","CKB"
1.10870167760719e-37,9.06318037122428,0.692,0.02,2.58449448067013e-33,"9","PTCRA"
6.22570178345611e-52,8.90866482223335,0.772,0.024,1.45127334274145e-47,"9","TMEM40"
