"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","direction"
"ATP2B1",3.92308719829855e-10,-0.643782020633467,0.416,0.549,9.14510856795374e-06,"ATP2B1","Up in Mild"
"ZNF331",5.23290121891546e-10,-1.06886242264469,0.2,0.338,1.21984160314138e-05,"ZNF331","Up in Mild"
"NKTR",6.47475093675716e-10,-0.617846735790659,0.422,0.591,1.50932919086746e-05,"NKTR","Up in Mild"
"SIVA1",6.94664356434332e-10,-0.5851299524188,0.366,0.505,1.61933208128407e-05,"SIVA1","Up in Mild"
"HNRNPA0",7.30256101571355e-10,-0.536118614363672,0.439,0.589,1.70229999837299e-05,"HNRNPA0","Up in Mild"
"CST7",8.13594550887613e-10,-0.951144127116429,0.286,0.41,1.89657025757411e-05,"CST7","Up in Mild"
"CD6",8.97867845112026e-10,-0.951046382342494,0.133,0.251,2.09301973374064e-05,"CD6","Up in Mild"
"YWHAH",9.24624457712015e-10,1.65286945663867,0.39,0.277,2.15539207337248e-05,"YWHAH","Up in Severe"
"FNBP1",9.25965106040892e-10,-0.506077079433534,0.447,0.579,2.15851725869192e-05,"FNBP1","Up in Mild"
"SLC38A1",1.47261220560385e-09,-0.928597489122099,0.234,0.396,3.43280631248313e-05,"SLC38A1","Up in Mild"
"EML4",1.6626221717485e-09,-0.873400530023362,0.368,0.542,3.87573854456294e-05,"EML4","Up in Mild"
"CD3E",1.82794678495466e-09,-0.839977694616995,0.223,0.392,4.2611267504078e-05,"CD3E","Up in Mild"
"SEPT9",1.8727626825341e-09,-0.599510423862186,0.455,0.609,4.36559708925524e-05,"SEPT9","Up in Mild"
"TRAC",1.8765592150843e-09,-0.937792500480605,0.178,0.322,4.37444718628302e-05,"TRAC","Up in Mild"
"SYNE2",2.02667358573306e-09,-0.696246354048023,0.242,0.404,4.72437879570234e-05,"SYNE2","Up in Mild"
"KLF3",2.11276046800931e-09,-0.792085631554818,0.444,0.63,4.9250559269765e-05,"KLF3","Up in Mild"
"OAZ1",2.1358968333595e-09,1.05993608479152,0.924,0.913,4.97898910824433e-05,"OAZ1","Up in Severe"
"GNG2",2.27986457622567e-09,-0.802036230462545,0.302,0.441,5.31459231363966e-05,"GNG2","Up in Mild"
"IER2",2.33590479823257e-09,-0.508623956893105,0.648,0.793,5.44522767515994e-05,"IER2","Up in Mild"
"C16orf54",4.01310322057292e-09,-0.820680758660364,0.229,0.355,9.35494491747752e-05,"C16orf54","Up in Mild"
"CNOT2",4.47572262009858e-09,-0.572356824036623,0.319,0.435,0.000104333569997118,"CNOT2","Up in Mild"
"CCDC12",5.91393838324941e-09,-0.562966270104542,0.442,0.591,0.000137859817651927,"CCDC12","Up in Mild"
"S100A8",6.25689233269268e-09,2.30169631631882,0.6,0.442,0.000145854417167399,"S100A8","Up in Severe"
"P2RY8",6.29801509760534e-09,-1.0331926774515,0.191,0.321,0.000146813029940278,"P2RY8","Up in Mild"
"PCSK7",7.07699150697592e-09,-0.744327135099669,0.419,0.6,0.000164971749019116,"PCSK7","Up in Mild"
