"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.00376609355602e-06,0.810050018951193,0.465,0.218,0.116642791406884,"7","LGALS8"
5.0195419726267e-06,0.982125405700958,0.732,0.395,0.117010542923901,"7","UBE2J1"
5.05613256739449e-06,0.599058380522984,0.787,0.505,0.117863506278533,"7","ENY2"
5.27986027240545e-06,1.26719273786325,0.321,0.112,0.123078822810043,"7","APAF1"
5.33952957112658e-06,0.603009394371018,0.372,0.19,0.124469773832532,"7","DUSP23"
5.48153771510351e-06,0.675926081686772,0.46,0.208,0.127780125676778,"7","ICAM1"
5.53954655664443e-06,0.50914143017939,0.496,0.29,0.129132369781938,"7","MTMR14"
5.57317512249445e-06,0.588598830414665,0.292,0.152,0.129916285280468,"7","PSME3"
5.6069143551082e-06,1.53375587978404,0.303,0.088,0.130702780531927,"7","MICAL2"
5.71242775596734e-06,0.661235579858215,0.29,0.148,0.133162403419355,"7","ARHGAP17"
5.80822017442959e-06,0.815427412075275,0.436,0.201,0.135395420486128,"7","RC3H1"
5.87859887716259e-06,1.01418767302159,0.496,0.217,0.137036018425537,"7","HDLBP"
6.1287966920832e-06,0.876280616278757,0.572,0.265,0.142868379689151,"7","TRIP12"
6.20142590336963e-06,1.40577923442492,0.4,0.139,0.144561439233449,"7","SRGAP2"
6.20775145014669e-06,0.923162860088757,0.365,0.153,0.14470889405437,"7","YWHAG"
6.25677996241542e-06,0.685613001594018,0.554,0.285,0.145851797703866,"7","DENND3"
6.26577431501086e-06,0.806805939643889,0.48,0.245,0.146061465057218,"7","GALNT1"
6.41447302275851e-06,0.940778742391511,0.44,0.188,0.149527780633524,"7","ADAP1"
6.50829493124011e-06,1.39438274176402,0.413,0.129,0.151714863142138,"7","PLXND1"
6.59438596783507e-06,1.10799335938869,0.281,0.112,0.153721731296203,"7","COPRS"
6.61708804269198e-06,0.871223898210227,0.259,0.102,0.154250939363193,"7","DYSF"
6.68471001151689e-06,0.768864882746907,0.342,0.165,0.15582727507847,"7","AK2"
6.78193679519474e-06,1.34202226895512,0.304,0.097,0.158093728632785,"7","USP32"
6.80465003306565e-06,1.03038741933092,0.439,0.194,0.158623196920793,"7","WDFY1"
7.11101903502104e-06,0.796458409043417,0.303,0.14,0.165764964725375,"7","APC"
7.20918957918551e-06,0.803418917346704,0.336,0.156,0.168053418280393,"7","WWP2"
7.39183009506874e-06,0.587266899730808,0.857,0.603,0.172310951346147,"7","ZNF207"
7.46818287951192e-06,0.996651091635975,0.374,0.157,0.174090811104302,"7","DCTN4"
7.56246784758062e-06,0.744274734059173,0.73,0.416,0.176288687994952,"7","MYO9B"
7.6837011335626e-06,0.694353848913024,0.483,0.229,0.179114757124478,"7","SNAP29"
7.68467754784179e-06,0.749097139111372,0.64,0.339,0.17913751831774,"7","STX10"
7.84633014549758e-06,0.670203210234165,0.368,0.192,0.182905802021694,"7","PPM1M"
7.93773418002257e-06,1.29612178725673,0.377,0.139,0.185036521470506,"7","MCOLN1"
8.18676100194152e-06,0.72714854125388,0.376,0.179,0.190841585716259,"7","SAMD9L"
8.2675858662806e-06,1.35233445205798,0.362,0.117,0.192725694128867,"7","SMARCD3"
8.36867364618692e-06,0.800967660346955,0.279,0.126,0.195082151366263,"7","CLIP4"
8.40632496873786e-06,1.02979226701242,0.311,0.125,0.195959841346248,"7","FNIP2"
8.48400820427356e-06,0.737943338786344,0.337,0.152,0.197770715249821,"7","TNK2"
8.57179606536632e-06,1.12415943583788,0.276,0.112,0.199817138079754,"7","SETD7"
8.59391330692047e-06,0.561329428720092,0.476,0.263,0.200332713097623,"7","MAN1A2"
8.75699483163715e-06,0.69326518103516,0.345,0.165,0.204134306520293,"7","SLAIN2"
8.76005250305209e-06,1.20685306481167,0.293,0.108,0.204205583898647,"7","MLKL"
8.77468773439357e-06,0.919630367821169,0.322,0.132,0.204546745776449,"7","ZNF217"
8.8766879329466e-06,0.551415039096771,0.408,0.223,0.206924472404918,"7","LIPA"
8.89027124542896e-06,0.868206515074723,0.394,0.18,0.207241113002194,"7","RNF169"
8.96077736611818e-06,0.599937244637198,0.419,0.221,0.208884681181581,"7","TNKS2"
9.00812647923892e-06,0.587459161482715,0.374,0.199,0.209988436357538,"7","PDS5B"
9.20478731293929e-06,1.39176275233481,0.281,0.088,0.214572797051928,"7","SRGAP2B"
9.52506422910899e-06,1.69505127045359,0.264,0.075,0.22203877224476,"7","FUCA1"
9.72721768206513e-06,1.08040947501866,0.253,0.094,0.22675117138662,"7","H6PD"
1.0103812528296e-05,0.995774284883022,0.573,0.309,0.235529973847108,"7","EHD1"
1.0233703387963e-05,0.672534947584636,0.305,0.147,0.238557859676804,"7","CCDC6"
1.03270867787166e-05,0.814378609353885,0.525,0.264,0.240734719898663,"7","CBX6"
1.03797313758803e-05,1.99560332388819,0.31,0.062,0.241961918103145,"7","SRC"
1.04043907037318e-05,0.702492170613634,0.324,0.162,0.242536751694691,"7","PIEZO1"
1.04866086767436e-05,0.834603234989424,0.816,0.455,0.244453334863571,"7","PTPN6"
1.06122325404144e-05,0.978889493205517,0.321,0.138,0.2473817527496,"7","PIK3CG"
1.0763300245995e-05,0.843385046931056,0.321,0.141,0.250903292034389,"7","UBP1"
1.10677277363208e-05,0.560025408109928,0.786,0.48,0.257999801261374,"7","PLP2"
1.10728016519168e-05,0.588518353768747,0.747,0.423,0.258118079307833,"7","HLA-DMA"
1.12884171208987e-05,0.993661616648064,0.47,0.182,0.263144291505269,"7","FES"
1.12888970906509e-05,1.26094739957904,0.35,0.127,0.263155480080163,"7","RRP12"
1.15623780334352e-05,0.886830704939275,0.645,0.346,0.269530594337407,"7","YIPF4"
1.19090156408288e-05,0.829235396656188,0.313,0.138,0.27761106360336,"7","NPEPL1"
1.22570038032502e-05,0.824402304163318,0.346,0.154,0.285723015657565,"7","LTB4R"
1.22637170195601e-05,0.587868990237286,0.355,0.182,0.285879507442967,"7","MAT2A"
1.24265900355514e-05,0.698485215892222,0.787,0.489,0.289676240318738,"7","CSK"
1.24564595375973e-05,2.29830700299054,0.265,0.048,0.29037252828093,"7","S1PR3"
1.26424779320184e-05,0.846207113776581,0.298,0.134,0.294708803073282,"7","EEA1"
1.26574161341341e-05,0.634833973482872,0.295,0.144,0.295057027502799,"7","PI4KA"
1.26655573940329e-05,1.07802895804379,0.447,0.193,0.295246808412302,"7","MNT"
1.34138988688716e-05,0.633989360614182,0.279,0.144,0.312691396532267,"7","MPDU1"
1.39490253638874e-05,0.803183651357483,0.421,0.196,0.32516573025758,"7","PHF21A"
1.3989151316597e-05,0.725461726754243,0.357,0.173,0.326101106341192,"7","ATXN3"
1.40825231137573e-05,0.614871463990374,0.52,0.242,0.328277696304797,"7","NPTN"
1.44426433106811e-05,0.515093184253917,0.519,0.309,0.336672458215286,"7","AKR1A1"
1.44710622214506e-05,0.631212698319758,0.417,0.182,0.337334931444236,"7","BTK"
1.48115075054996e-05,1.36986945342442,0.285,0.093,0.345271051460702,"7","ACOX1"
1.48207372500146e-05,0.936481623452824,0.483,0.21,0.345486206035091,"7","YPEL2"
1.49197934560089e-05,0.579079133385465,0.44,0.212,0.347795305253024,"7","SYMPK"
1.50580244506484e-05,1.32452599800349,0.286,0.099,0.351017607969065,"7","P2RX7"
1.51503914094972e-05,0.681697856759437,0.485,0.262,0.353170774146789,"7","GBP4"
1.56821434699475e-05,1.61059624291528,0.345,0.105,0.365566446427947,"7","SLC31A1"
1.58630252611458e-05,0.576061513974796,0.561,0.308,0.369782981862569,"7","PTK2B"
1.59756020768592e-05,0.55230601802481,0.519,0.288,0.372407260013665,"7","CCDC88B"
1.60417865280011e-05,0.611083738842958,0.714,0.433,0.373950085754234,"7","ATP1A1"
1.60739387729734e-05,1.1021650908174,0.507,0.215,0.374699586736783,"7","MANBA"
1.61284816039004e-05,0.553746567053401,0.385,0.213,0.375971034668523,"7","UBXN7"
1.64924655047135e-05,0.671943123652423,0.266,0.134,0.384455863380376,"7","YKT6"
1.6583322961829e-05,1.2079233830799,0.461,0.181,0.386573841563197,"7","MTHFR"
1.66796734645051e-05,1.21382360960175,0.471,0.18,0.388819868131077,"7","ARID3A"
1.6977586085528e-05,0.709636971626407,0.768,0.465,0.395764509239744,"7","WAS"
1.71065160695867e-05,1.36379041159029,0.298,0.092,0.398769996098136,"7","ADAM9"
1.72687516386005e-05,0.574850981577432,0.358,0.178,0.402551869447416,"7","ABHD5"
1.72811081843528e-05,0.59851400237178,0.532,0.298,0.402839912885447,"7","PDCD6IP"
1.73112005988701e-05,0.645773778467586,0.339,0.176,0.403541397160261,"7","COA6"
1.807260586264e-05,0.73499512534117,0.46,0.239,0.421290515264001,"7","CARS2"
1.86474275523277e-05,1.00635880648219,0.45,0.18,0.43469018367231,"7","QSOX1"
1.87527805597429e-05,0.892514992749002,0.444,0.212,0.437146067628167,"7","NARS"
1.8932734281237e-05,0.662889315460939,0.303,0.146,0.441340968829916,"7","KMT2D"
1.90738548140298e-05,0.633453760580679,0.802,0.5,0.444630629569849,"7","HEBP2"
1.91648239180641e-05,0.58648009895585,0.303,0.158,0.446751210353993,"7","IMPAD1"
1.97895833641436e-05,1.47511180297514,0.267,0.086,0.461314977801551,"7","NCKAP5L"
2.0044312840753e-05,0.660039366688108,0.768,0.46,0.467252976630793,"7","CAPN2"
2.02697472448044e-05,0.916316868678683,0.572,0.271,0.472508078023635,"7","PQLC1"
